searchstring;productcount;eventdate;fixed;is_fixed;brands_fixed;layout_fixed;spaces_fixed;typos_fixed;;
chianti san paolo;0;28.12.2018;chianti san paolo;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,00198861;1
качел;16;28.12.2018;качели;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;0,001635486;1
АЛТА20312;1;28.12.2018;алта20312;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,026398107;1
pinotage;45;28.12.2018;pinotage;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,017735179;1
Imperial;45;28.12.2018;imperial;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,014438691;1
Caperdonich;1;28.12.2018;caperdonich;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,020725212;1
barbe ruby;1;28.12.2018;barbe ruby;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,01910524;1
КАЛАШНИКОВ;7;28.12.2018;калашников;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,007288486;1
Argiano NC;1;28.12.2018;argiano nc;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,025000873;1
Acquesi;5;28.12.2018;acquesi;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,012905271;1
фанагория 100 оттенков;4;28.12.2018;фанагория 100 оттенков;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,008609264;1
золотая балка;19;27.12.2018;золотая балка;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,000520105;1
спельта;2;27.12.2018;spelta;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,002469309;1
